
Dashboard: http://127.0.0.1:8888

 * Serving Flask app 'hr_dashboard_v2'
 * Debug mode: off
[ADB] Spojen na 192.168.1.222:5555 - slusam logcat (ignorisem linije starije od 120s)...
[16:56:05]  Puls: 92 bpm  (watch_ts=1779893764, age=0s)
[17:01:43]  Puls: 79 bpm  (watch_ts=1779894101, age=0s)
[17:01:46]  Puls: 78 bpm  (watch_ts=1779894105, age=1s)
[17:01:47]  Puls: 77 bpm  (watch_ts=1779894106, age=1s)
[17:01:52]  Puls: 78 bpm  (watch_ts=1779894110, age=0s)
[17:01:53]  Puls: 80 bpm  (watch_ts=1779894112, age=1s)
[17:01:54]  Puls: 81 bpm  (watch_ts=1779894113, age=0s)
[17:01:55]  Puls: 82 bpm  (watch_ts=1779894114, age=1s)
[17:01:56]  Puls: 83 bpm  (watch_ts=1779894115, age=1s)
[17:02:00]  Puls: 84 bpm  (watch_ts=1779894118, age=0s)
